"ROWID","CREATORID","CREATEDTIME","MODIFIEDTIME","case_rowid","accused_rowid","arrest_type","arrest_datetime","arrest_location","arresting_officer_rowid","remarks"
"49093000000164406","49093000000013007","2026-06-28 14:03:59:420","2026-06-28 14:03:59:420","49093000000157258","49093000000155873","Arrest","2025-05-08 05:33:54","Kozhikode","49093000000157088","Quo est expedita repellendus praesentium quis id esse id."
"49093000000164407","49093000000013007","2026-06-28 14:03:59:433","2026-06-28 14:03:59:433","49093000000157258","49093000000155874","Preventive Arrest","2026-01-07 21:17:58","Ambala","49093000000157126","Reiciendis ipsa beatae ab facere architecto quas qui illum."
"49093000000164408","49093000000013007","2026-06-28 14:03:59:433","2026-06-28 14:03:59:433","49093000000157259","49093000000155875","Arrest","2024-08-01 01:07:35","Hyderabad","49093000000157201","Dolorum eaque occaecati a voluptates enim."
"49093000000164409","49093000000013007","2026-06-28 14:03:59:433","2026-06-28 14:03:59:433","49093000000157260","49093000000155876","Preventive Arrest","2024-08-19 10:59:48","Chandrapur","49093000000157136","Nam assumenda incidunt assumenda architecto commodi modi dolores possimus."
"49093000000164410","49093000000013007","2026-06-28 14:03:59:433","2026-06-28 14:03:59:433","49093000000157261","49093000000155877","Preventive Arrest","2025-05-27 21:57:31","Nashik","49093000000157042","Ipsam fuga at vero et velit temporibus eaque odit ratione numquam animi."
"49093000000164411","49093000000013007","2026-06-28 14:03:59:433","2026-06-28 14:03:59:433","49093000000157261","49093000000155878","Arrest","2025-08-26 17:08:08","Jehanabad","49093000000157100","Placeat harum tempore aperiam expedita debitis eligendi."
"49093000000164412","49093000000013007","2026-06-28 14:03:59:433","2026-06-28 14:03:59:433","49093000000157262","49093000000155879","Preventive Arrest","2024-12-11 15:07:03","Jalgaon","49093000000157088","Veniam ea culpa ipsum impedit reiciendis aperiam aut odio."
"49093000000164413","49093000000013007","2026-06-28 14:03:59:433","2026-06-28 14:03:59:433","49093000000157264","49093000000155880","Arrest","2025-08-12 06:57:47","Karimnagar","49093000000157032","Recusandae optio perspiciatis praesentium quaerat sed assumenda repellendus expedita at dolorem nam."
"49093000000164414","49093000000013007","2026-06-28 14:03:59:433","2026-06-28 14:03:59:433","49093000000157265","49093000000155881","Surrender","2025-11-22 05:36:40","Pudukkottai","49093000000157199","Ea quia vitae doloribus commodi repudiandae porro beatae aliquam quaerat."
"49093000000164415","49093000000013007","2026-06-28 14:03:59:433","2026-06-28 14:03:59:433","49093000000157266","49093000000155882","Surrender","2025-07-18 21:55:15","Kirari Suleman Nagar","49093000000157202","Cumque quasi nostrum error id placeat similique laboriosam hic consequuntur magnam."
"49093000000164416","49093000000013007","2026-06-28 14:03:59:434","2026-06-28 14:03:59:434","49093000000157266","49093000000155883","Surrender","2025-12-23 01:05:23","Arrah","49093000000157075","Voluptatibus atque error nulla minima pariatur dolorum qui ratione error."
"49093000000164417","49093000000013007","2026-06-28 14:03:59:434","2026-06-28 14:03:59:434","49093000000157267","49093000000155884","Surrender","2025-08-12 11:34:09","Surendranagar Dudhrej","49093000000157128","Ipsam quis sapiente culpa nobis quae ut odit optio aliquam iure labore molestiae."
"49093000000164418","49093000000013007","2026-06-28 14:03:59:434","2026-06-28 14:03:59:434","49093000000157268","49093000000155885","Arrest","2025-07-22 01:13:16","Ambattur","49093000000157036","Quaerat eveniet officiis harum accusantium a quaerat at corporis eveniet."
"49093000000164419","49093000000013007","2026-06-28 14:03:59:434","2026-06-28 14:03:59:434","49093000000157271","49093000000155886","Preventive Arrest","2026-01-18 10:33:53","Jalgaon","49093000000157092","Facere voluptatibus laborum vitae nobis et."
"49093000000164420","49093000000013007","2026-06-28 14:03:59:434","2026-06-28 14:03:59:434","49093000000157272","49093000000155887","Arrest","2024-10-04 17:53:03","Junagadh","49093000000157084","Harum explicabo enim cupiditate architecto impedit odit illum et qui blanditiis est officia."
"49093000000164421","49093000000013007","2026-06-28 14:03:59:434","2026-06-28 14:03:59:434","49093000000157272","49093000000155888","Surrender","2026-05-03 16:04:51","Visakhapatnam","49093000000157129","Ex totam consectetur porro praesentium in architecto facere magnam nobis."
"49093000000164422","49093000000013007","2026-06-28 14:03:59:434","2026-06-28 14:03:59:434","49093000000157274","49093000000155889","Preventive Arrest","2024-11-18 11:52:24","Aizawl","49093000000157116","Aut quia ea saepe laudantium ut."
"49093000000164423","49093000000013007","2026-06-28 14:03:59:434","2026-06-28 14:03:59:434","49093000000157274","49093000000155890","Surrender","2024-11-25 17:30:47","Bhimavaram","49093000000157174","Voluptatum iusto exercitationem quibusdam ea consectetur aspernatur tempore debitis debitis atque."
"49093000000164424","49093000000013007","2026-06-28 14:03:59:434","2026-06-28 14:03:59:434","49093000000157275","49093000000155891","Arrest","2024-10-21 00:08:44","Barasat","49093000000157095","Itaque quisquam animi maxime aliquam delectus."
"49093000000164425","49093000000013007","2026-06-28 14:03:59:434","2026-06-28 14:03:59:434","49093000000157275","49093000000155892","Preventive Arrest","2025-12-20 15:07:43","Berhampore","49093000000157052","Veniam delectus perferendis veniam accusantium inventore aliquam sunt enim fuga molestias illo veniam."
"49093000000164426","49093000000013007","2026-06-28 14:03:59:435","2026-06-28 14:03:59:435","49093000000157277","49093000000155893","Arrest","2024-09-25 20:17:01","Raiganj","49093000000157166","Optio molestias perferendis nihil eius alias quam a recusandae expedita quis cupiditate sint."
"49093000000164427","49093000000013007","2026-06-28 14:03:59:435","2026-06-28 14:03:59:435","49093000000157277","49093000000155894","Preventive Arrest","2025-08-19 11:36:25","Ramgarh","49093000000157066","Fugit ex quis neque ipsa accusantium occaecati quod asperiores reprehenderit quam quia laboriosam quae."
"49093000000164428","49093000000013007","2026-06-28 14:03:59:435","2026-06-28 14:03:59:435","49093000000157278","49093000000155895","Surrender","2025-03-06 00:46:44","Mumbai","49093000000157034","Quo quia nostrum velit consectetur autem dolor nisi dicta laudantium perspiciatis."
"49093000000164429","49093000000013007","2026-06-28 14:03:59:435","2026-06-28 14:03:59:435","49093000000157279","49093000000155896","Arrest","2025-02-07 22:53:52","Nagaon","49093000000157043","Accusantium totam facere eos pariatur asperiores."
"49093000000164430","49093000000013007","2026-06-28 14:03:59:435","2026-06-28 14:03:59:435","49093000000157279","49093000000155897","Surrender","2026-03-28 17:09:48","Salem","49093000000157183","Provident labore repellat expedita repudiandae soluta corrupti earum assumenda vel corrupti ex inventore."
"49093000000164431","49093000000013007","2026-06-28 14:03:59:435","2026-06-28 14:03:59:435","49093000000157281","49093000000155898","Preventive Arrest","2026-05-06 21:44:26","North Dumdum","49093000000157151","Hic quidem at voluptatem occaecati magni porro sint nihil porro nobis."
"49093000000164432","49093000000013007","2026-06-28 14:03:59:435","2026-06-28 14:03:59:435","49093000000157281","49093000000155899","Arrest","2024-08-13 05:20:22","Akola","49093000000157106","Aut aut molestiae minima dolores facere corrupti."
"49093000000164433","49093000000013007","2026-06-28 14:03:59:435","2026-06-28 14:03:59:435","49093000000157283","49093000000155900","Surrender","2024-07-11 21:39:18","South Dumdum","49093000000157034","Quo odit corporis sit quia aut totam qui perferendis quisquam doloribus alias repellat."
"49093000000164434","49093000000013007","2026-06-28 14:03:59:436","2026-06-28 14:03:59:436","49093000000157283","49093000000155901","Surrender","2025-04-27 06:15:30","Kirari Suleman Nagar","49093000000157164","Soluta eligendi nesciunt quia facere vitae."
"49093000000164435","49093000000013007","2026-06-28 14:03:59:436","2026-06-28 14:03:59:436","49093000000157286","49093000000155902","Preventive Arrest","2026-01-08 13:58:23","Hapur","49093000000157120","In minus doloremque voluptatum id tempora tenetur."
"49093000000164436","49093000000013007","2026-06-28 14:03:59:436","2026-06-28 14:03:59:436","49093000000157287","49093000000155903","Surrender","2026-02-21 20:34:33","Gurgaon","49093000000157081","Sunt provident quam quidem soluta fugiat eius neque fugiat accusantium rerum."
"49093000000164437","49093000000013007","2026-06-28 14:03:59:436","2026-06-28 14:03:59:436","49093000000157288","49093000000155904","Arrest","2024-12-31 16:49:04","Maheshtala","49093000000157211","Itaque ipsa in minus alias inventore."
"49093000000164438","49093000000013007","2026-06-28 14:03:59:436","2026-06-28 14:03:59:436","49093000000157288","49093000000155905","Arrest","2025-11-09 00:07:58","Thoothukudi","49093000000157150","Voluptatum veritatis laborum vel rem nobis beatae."
"49093000000164439","49093000000013007","2026-06-28 14:03:59:436","2026-06-28 14:03:59:436","49093000000157290","49093000000155906","Surrender","2025-03-11 01:49:07","Agra","49093000000157156","Velit vel deserunt maiores consequatur illum totam sapiente occaecati libero quasi atque."
"49093000000164440","49093000000013007","2026-06-28 14:03:59:436","2026-06-28 14:03:59:436","49093000000157290","49093000000155907","Preventive Arrest","2026-05-19 06:02:33","Gandhinagar","49093000000157164","Unde natus alias laboriosam corrupti corrupti est aspernatur harum."
"49093000000164441","49093000000013007","2026-06-28 14:03:59:436","2026-06-28 14:03:59:436","49093000000157291","49093000000155908","Arrest","2025-01-24 03:05:53","Jamalpur","49093000000157091","Dolor accusantium unde amet rerum commodi eos."
"49093000000164442","49093000000013007","2026-06-28 14:03:59:436","2026-06-28 14:03:59:436","49093000000157293","49093000000155909","Preventive Arrest","2025-10-23 13:06:05","Hyderabad","49093000000157168","Accusantium consequatur inventore quaerat placeat dolores."
