"ROWID","CREATORID","CREATEDTIME","MODIFIEDTIME","fir_number","crime_type_rowid","crime_category_rowid","act_rowid","section_rowid","unit_rowid","district_rowid","state_rowid","occurrence_datetime","complaint_datetime","latitude","longitude","place_of_occurrence","complaint_mode","case_priority","case_status","investigation_officer_rowid","created_by_rowid","ai_risk_score","ai_summary","is_sensitive"
"49093000000157258","49093000000013007","2026-06-28 13:23:29:034","2026-06-28 13:23:29:034","FIR-2026-00001","49093000000153089","49093000000157233","49093000000157244","49093000000155092","49093000000153058","49093000000155022","1","2025-09-09 03:52:28","2025-09-09 09:52:28","17.1445","77.3351","H.No. 40, Sehgal Street, Amritsar 656299","Walk-in","Critical","Closed","49093000000157124","49093000000157185","70.05","Dolore cumque molestias quasi minima tempore vitae vel.","true"
"49093000000157259","49093000000013007","2026-06-28 13:23:29:047","2026-06-28 13:23:29:047","FIR-2026-00002","49093000000153096","49093000000157226","49093000000157248","49093000000155087","49093000000153037","49093000000155020","1","2025-12-16 08:23:01","2025-12-16 16:08:01","17.3632","78.1012","31/62, Ray Road, Gurgaon 529743","Emergency 112","High","Open","49093000000157071","49093000000157110","76.01","Omnis magnam dignissimos iusto quo aperiam deserunt.","false"
"49093000000157260","49093000000013007","2026-06-28 13:23:29:048","2026-06-28 13:23:29:048","FIR-2026-00003","49093000000153094","49093000000157225","49093000000157241","49093000000155086","49093000000153032","49093000000155036","1","2025-01-24 20:10:02","2025-01-24 20:26:02","12.9633","76.9146","H.No. 75, Barad Ganj, Jabalpur 273410","Walk-in","Medium","Closed","49093000000157075","49093000000157068","86.31","Suscipit iusto enim eaque voluptatibus totam tempore reprehenderit vitae necessitatibus aut nobis itaque harum rem magni.","true"
"49093000000157261","49093000000013007","2026-06-28 13:23:29:048","2026-06-28 13:23:29:048","FIR-2026-00004","49093000000153093","49093000000157229","49093000000157248","49093000000155085","49093000000153029","49093000000155026","1","2025-02-27 13:43:12","2025-02-27 23:10:12","16.0915","76.8022","53/111, Karan Street, Maheshtala-056496","Phone","Low","Closed","49093000000157145","49093000000157152","72.6","Omnis ab perspiciatis quisquam ratione minus inventore nobis.","true"
"49093000000157262","49093000000013007","2026-06-28 13:23:29:048","2026-06-28 13:23:29:048","FIR-2026-00005","49093000000153090","49093000000157225","49093000000157245","49093000000155086","49093000000153076","49093000000155019","1","2024-12-08 07:11:43","2024-12-08 13:43:43","15.0618","74.718","H.No. 64, Hari Path, Sangli-Miraj & Kupwad 347663","Online","Critical","Open","49093000000157145","49093000000157192","12.38","Dignissimos facere optio hic est temporibus explicabo ipsum molestias placeat.","true"
"49093000000157263","49093000000013007","2026-06-28 13:23:29:049","2026-06-28 13:23:29:049","FIR-2026-00006","49093000000153088","49093000000157227","49093000000157249","49093000000155086","49093000000153040","49093000000155034","1","2026-05-30 11:16:27","2026-05-30 20:35:27","14.7062","77.4363","H.No. 576, Mammen Road, Thrissur-428799","Online","Medium","Under Investigation","49093000000157204","49093000000157036","52.14","Cumque aperiam sed voluptate mollitia aliquid perferendis.","true"
"49093000000157264","49093000000013007","2026-06-28 13:23:29:049","2026-06-28 13:23:29:049","FIR-2026-00007","49093000000153096","49093000000157229","49093000000157244","49093000000155091","49093000000153026","49093000000155006","1","2024-08-18 18:01:09","2024-08-19 01:32:09","16.683","75.8698","17/380, Balasubramanian Path, Tirupati 548383","Phone","Low","Charge Sheet Filed","49093000000157051","49093000000157211","72.27","Quod dolore ad et debitis illo quaerat minus atque quos porro.","true"
"49093000000157265","49093000000013007","2026-06-28 13:23:29:049","2026-06-28 13:23:29:049","FIR-2026-00008","49093000000153090","49093000000157233","49093000000157250","49093000000155091","49093000000153078","49093000000155016","1","2024-07-13 16:45:28","2024-07-14 03:07:28","13.0312","74.6501","032, Sridhar Nagar, Mysore-008909","Walk-in","Critical","Charge Sheet Filed","49093000000157210","49093000000157109","16.29","Consequatur in tempora architecto natus nam nihil magnam cupiditate neque.","true"
"49093000000157266","49093000000013007","2026-06-28 13:23:29:049","2026-06-28 13:23:29:049","FIR-2026-00009","49093000000153095","49093000000157226","49093000000157244","49093000000155093","49093000000153048","49093000000155029","1","2025-12-04 11:07:02","2025-12-04 18:02:02","15.5005","75.2513","85, Parekh Path, Gulbarga 406416","Phone","Low","Closed","49093000000157188","49093000000157099","36.67","Minus sequi accusantium doloremque eligendi perferendis modi nemo quo beatae laborum repellendus excepturi officia deserunt.","true"
"49093000000157267","49093000000013007","2026-06-28 13:23:29:049","2026-06-28 13:23:29:049","FIR-2026-00010","49093000000153093","49093000000157227","49093000000157242","49093000000155089","49093000000153071","49093000000155030","1","2026-03-20 07:06:31","2026-03-20 18:20:31","13.393","76.3089","07, Som Ganj, Munger 073347","Emergency 112","Critical","Closed","49093000000157063","49093000000157139","67.05","Cum totam temporibus architecto praesentium libero nostrum voluptatum ipsam nulla tenetur.","true"
