"ROWID","CREATORID","CREATEDTIME","MODIFIEDTIME","employee_id","full_name","badge_number","email","phone","rank_rowid","designation_rowid","unit_rowid","role_rowid","profile_photo","biometric_id","is_active"
"49093000000157029","49093000000013007","2026-06-28 12:52:28:731","2026-06-28 12:52:28:731","EMP00001","Triya Setty","KSP100001","triya.setty@ksp.gov.in","9863469018","49093000000157017","49093000000155051","49093000000153017","49093000000155070","","","true"
"49093000000157030","49093000000013007","2026-06-28 12:52:28:731","2026-06-28 12:52:28:731","EMP00002","Owen Peri","KSP100002","owen.peri@ksp.gov.in","9312842211","49093000000157018","49093000000155052","49093000000153017","49093000000155071","","","true"
"49093000000157031","49093000000013007","2026-06-28 12:52:28:731","2026-06-28 12:52:28:731","EMP00003","Advay Purohit","KSP100003","advay.purohit@ksp.gov.in","9659703820","49093000000157021","49093000000155055","49093000000153017","49093000000155072","","","true"
"49093000000157032","49093000000013007","2026-06-28 12:52:28:731","2026-06-28 12:52:28:731","EMP00004","Ganga Balasubramanian","KSP100004","ganga.balasubramanian@ksp.gov.in","9352730856","49093000000157017","49093000000155051","49093000000153018","49093000000155070","","","true"
"49093000000157033","49093000000013007","2026-06-28 12:52:28:731","2026-06-28 12:52:28:731","EMP00005","Yutika Basak","KSP100005","yutika.basak@ksp.gov.in","9355290083","49093000000157018","49093000000155052","49093000000153018","49093000000155071","","","true"
"49093000000157034","49093000000013007","2026-06-28 12:52:28:731","2026-06-28 12:52:28:731","EMP00006","Ria Ratti","KSP100006","ria.ratti@ksp.gov.in","9034169455","49093000000157021","49093000000155055","49093000000153018","49093000000155072","","","true"
"49093000000157035","49093000000013007","2026-06-28 12:52:28:731","2026-06-28 12:52:28:731","EMP00007","Sarthak Apte","KSP100007","sarthak.apte@ksp.gov.in","9954357549","49093000000157017","49093000000155051","49093000000153019","49093000000155070","","","true"
"49093000000157036","49093000000013007","2026-06-28 12:52:28:731","2026-06-28 12:52:28:731","EMP00008","Xavier Pant","KSP100008","xavier.pant@ksp.gov.in","9051645937","49093000000157018","49093000000155052","49093000000153019","49093000000155071","","","true"
"49093000000157037","49093000000013007","2026-06-28 12:52:28:731","2026-06-28 12:52:28:731","EMP00009","Oviya Nadig","KSP100009","oviya.nadig@ksp.gov.in","9681364160","49093000000157021","49093000000155055","49093000000153019","49093000000155072","","","true"
"49093000000157038","49093000000013007","2026-06-28 12:52:28:731","2026-06-28 12:52:28:731","EMP00010","Vasana Chaudhari","KSP100010","vasana.chaudhari@ksp.gov.in","9661708876","49093000000157017","49093000000155051","49093000000153020","49093000000155070","","","true"
"49093000000157039","49093000000013007","2026-06-28 12:52:28:731","2026-06-28 12:52:28:731","EMP00011","Dominic Chakraborty","KSP100011","dominic.chakraborty@ksp.gov.in","9135636547","49093000000157018","49093000000155052","49093000000153020","49093000000155071","","","true"
"49093000000157040","49093000000013007","2026-06-28 12:52:28:731","2026-06-28 12:52:28:731","EMP00012","Ekansh Konda","KSP100012","ekansh.konda@ksp.gov.in","9236508698","49093000000157021","49093000000155055","49093000000153020","49093000000155072","","","true"
"49093000000157041","49093000000013007","2026-06-28 12:52:28:731","2026-06-28 12:52:28:731","EMP00013","Praneel Lata","KSP100013","praneel.lata@ksp.gov.in","9992226291","49093000000157017","49093000000155051","49093000000153021","49093000000155070","","","true"
"49093000000157042","49093000000013007","2026-06-28 12:52:28:731","2026-06-28 12:52:28:731","EMP00014","Shivansh Patil","KSP100014","shivansh.patil@ksp.gov.in","9632014992","49093000000157018","49093000000155052","49093000000153021","49093000000155071","","","true"
