"ROWID","CREATORID","CREATEDTIME","MODIFIEDTIME","case_rowid","suspect_name","gender","age","phone","email","aadhaar_number","address","occupation","arrest_status","is_repeat_offender","remarks"
"49093000000155873","49093000000013007","2026-06-28 13:34:59:149","2026-06-28 13:34:59:149","49093000000157258","Daniel Pillay","Male","30","3223914582","aarnasharma@example.org","782031801072","H.No. 472, Aurora Road, Moradabad-870807","Self Employed","Released on Bail","true","Excepturi quo tenetur cupiditate vel modi minus placeat nisi culpa quaerat expedita quidem."
"49093000000155874","49093000000013007","2026-06-28 13:34:59:149","2026-06-28 13:34:59:149","49093000000157258","Shravya Walla","Female","34","8605536787","nnarain@example.com","895947970258","390, Bhatia Street, Singrauli 065504","Farmer","Absconding","false","Eveniet molestiae expedita explicabo vero asperiores molestias consequatur."
"49093000000155875","49093000000013007","2026-06-28 13:34:59:149","2026-06-28 13:34:59:149","49093000000157259","Jeevika Sarma","Female","56","1921113295","arin86@example.com","006251026596","H.No. 550, Menon Zila, Shimla-279953","Self Employed","Arrested","true","Veritatis voluptates doloremque laboriosam dolor iste laboriosam."
"49093000000155876","49093000000013007","2026-06-28 13:34:59:149","2026-06-28 13:34:59:149","49093000000157260","Abhiram Wadhwa","Male","46","5577392357","gautam71@example.com","308730416106","516, Walia Ganj, Hazaribagh 915744","Student","Unknown","false","Reiciendis laborum alias sint labore quidem."
"49093000000155877","49093000000013007","2026-06-28 13:34:59:149","2026-06-28 13:34:59:149","49093000000157261","Harinakshi Viswanathan","Female","41","3713742440","qvyas@example.org","912845829409","20/049, Borah Nagar, Ranchi 649080","Student","Absconding","false","Blanditiis reiciendis iste iste a earum dolorem sint iste ad commodi non est."
"49093000000155878","49093000000013007","2026-06-28 13:34:59:149","2026-06-28 13:34:59:149","49093000000157261","Champak Thakkar","Male","31","6738348549","yochana81@example.org","872229583708","H.No. 46, Shetty Chowk, Panipat 364840","Private Employee","Absconding","true","Nobis magnam nostrum consequatur facere non vitae autem."
"49093000000155879","49093000000013007","2026-06-28 13:34:59:149","2026-06-28 13:34:59:149","49093000000157262","Advika Prabhu","Female","55","7443181786","narayananabha@example.org","936237780849","85/35, Master, Dewas 413264","Business","Under Investigation","true","Blanditiis asperiores non culpa porro minima dolorem."
"49093000000155880","49093000000013007","2026-06-28 13:34:59:149","2026-06-28 13:34:59:149","49093000000157264","Udyati Bhatnagar","Female","38","0794724896","ugara@example.net","690412994587","80/04, Guha Circle, Tirupati 648652","Teacher","Released on Bail","false","Voluptatem odit repellendus accusamus architecto qui ratione ad perferendis quisquam explicabo aliquid."
"49093000000155881","49093000000013007","2026-06-28 13:34:59:149","2026-06-28 13:34:59:149","49093000000157265","Vivaan Manda","Male","67","8381597442","tamanna52@example.org","833414359257","H.No. 21, Baria, Ozhukarai-026926","Teacher","Arrested","true","Assumenda eaque ex cupiditate veritatis inventore vero facilis aperiam tenetur autem incidunt corporis."
"49093000000155882","49093000000013007","2026-06-28 13:34:59:149","2026-06-28 13:34:59:149","49093000000157266","Ayushman Shere","Male","67","9873903981","vrittivarghese@example.net","680390987323","H.No. 89, Zacharia Zila, Deoghar-014268","Farmer","Under Investigation","false","Facere ratione accusamus repellendus blanditiis illum ad blanditiis laboriosam sit."
"49093000000155883","49093000000013007","2026-06-28 13:34:59:149","2026-06-28 13:34:59:149","49093000000157266","Inaya Mishra","Female","29","7140254619","jacob09@example.org","474588020529","H.No. 05, Manne Ganj, Rajahmundry-540966","Farmer","Unknown","false","Culpa at vel odio rem optio nisi quaerat."
"49093000000155884","49093000000013007","2026-06-28 13:34:59:149","2026-06-28 13:34:59:149","49093000000157267","Ekantika Ahluwalia","Female","37","8319018126","jgarg@example.com","372406369876","93, Chandra Zila, Jalandhar-767940","Private Employee","Arrested","true","Voluptas quam quos beatae impedit quod distinctio inventore similique."
"49093000000155885","49093000000013007","2026-06-28 13:34:59:149","2026-06-28 13:34:59:149","49093000000157268","Anita Salvi","Female","64","7603245052","ykorpal@example.com","457742215965","58, Dube Path, Mirzapur-924361","Engineer","Absconding","true","Natus harum eos ab laudantium animi atque dolores ea natus odit."
"49093000000155886","49093000000013007","2026-06-28 13:34:59:149","2026-06-28 13:34:59:149","49093000000157271","Tanay Bedi","Male","70","3554324640","iganesan@example.org","221922135966","H.No. 68, Divan Circle, Madhyamgram-160237","Driver","Arrested","false","Harum nesciunt ab eveniet exercitationem occaecati fugit ducimus ad eum."
"49093000000155887","49093000000013007","2026-06-28 13:34:59:149","2026-06-28 13:34:59:149","49093000000157272","Isaac Golla","Male","20","4974506649","bawawakeeta@example.net","426094687510","77, Kuruvilla Road, Sikar 002983","Business","Unknown","false","Harum nihil labore culpa minima nulla cum excepturi voluptatem."
"49093000000155888","49093000000013007","2026-06-28 13:34:59:149","2026-06-28 13:34:59:149","49093000000157272","Ekbal Mittal","Male","40","5505248511","chakrikasunder@example.org","663748035239","H.No. 25, Agrawal Street, Katni 998780","Engineer","Absconding","false","Quos iste impedit dolores esse quis est non recusandae eveniet voluptate."
"49093000000155889","49093000000013007","2026-06-28 13:34:59:149","2026-06-28 13:34:59:149","49093000000157274","Inaya Misra","Female","27","8163474812","qchaudhary@example.org","767821411415","24/58, Tank Path, Nangloi Jat-124260","Unemployed","Released on Bail","false","Illo reprehenderit eius nam excepturi quam modi tempora quaerat ut."
"49093000000155890","49093000000013007","2026-06-28 13:34:59:149","2026-06-28 13:34:59:149","49093000000157274","Kamya Subramaniam","Female","66","1434095609","andrew56@example.com","814424096638","H.No. 05, Bhasin, Kharagpur-371006","Teacher","Under Investigation","false","Animi nostrum laborum possimus cupiditate voluptatem in."
"49093000000155891","49093000000013007","2026-06-28 13:34:59:149","2026-06-28 13:34:59:149","49093000000157275","Nidhi Baral","Female","48","5072004473","bathbhavani@example.com","699373789225","09/673, Kala Chowk, Machilipatnam 194695","Driver","Arrested","false","Numquam quos ad non iste ut aspernatur ducimus quidem sequi cumque."
"49093000000155892","49093000000013007","2026-06-28 13:34:59:149","2026-06-28 13:34:59:149","49093000000157275","Bhavya Bhat","Female","31","8571418475","avnibatta@example.net","948025640005","H.No. 843, Bajaj Zila, Ujjain-902210","Student","Unknown","false","Atque error consequuntur saepe cupiditate magnam ut officiis veritatis."
"49093000000155893","49093000000013007","2026-06-28 13:34:59:149","2026-06-28 13:34:59:149","49093000000157277","Ekanta Kothari","Female","48","8264964072","kalalajita@example.net","890937513790","31, Nigam Marg, Raipur 056664","Private Employee","Absconding","true","Quam architecto sequi eum error fugiat quo asperiores."
"49093000000155894","49093000000013007","2026-06-28 13:34:59:149","2026-06-28 13:34:59:149","49093000000157277","Pavani Thakkar","Female","59","8362987805","finn09@example.org","632643324813","H.No. 95, Hayre Ganj, Jabalpur-145566","Labourer","Unknown","false","Amet voluptate rerum nulla sapiente deleniti expedita itaque distinctio ex earum."
"49093000000155895","49093000000013007","2026-06-28 13:34:59:149","2026-06-28 13:34:59:149","49093000000157278","Imaran Keer","Male","65","1315415537","triveni08@example.net","714939050068","78/618, Nadig Circle, Serampore-101801","Teacher","Unknown","false","Mollitia dicta esse quod iste alias aspernatur."
