"ROWID","CREATORID","CREATEDTIME","MODIFIEDTIME","case_rowid","victim_name","gender","age","phone","email","aadhaar_number","address","occupation","injury_details","statement","is_primary"
"49093000000155099","49093000000013007","2026-06-28 13:27:29:690","2026-06-28 13:27:29:690","49093000000157258","Anusha Keer","Female","71","5162961457","advik54@example.net","225858583422","45/07, Kala Marg, Katni-926971","Student","Hospitalized","Nisi ex inventore assumenda nulla culpa iure totam maxime exercitationem ducimus eos veniam similique maiores sequi nobis qui ratione modi.","true"
"49093000000155100","49093000000013007","2026-06-28 13:27:29:690","2026-06-28 13:27:29:690","49093000000157259","Veda Deo","Female","70","6295540502","lbarad@example.net","437634561178","82, Mittal, Malda 434272","Farmer","Psychological trauma","Deleniti amet quaerat nobis facere id est itaque quia necessitatibus at aut cumque dolor dolorem eum minima voluptatum possimus voluptates.","true"
"49093000000155101","49093000000013007","2026-06-28 13:27:29:690","2026-06-28 13:27:29:690","49093000000157260","Nirja Ganguly","Female","26","8888357598","oshere@example.net","309475438505","82, Dugal Street, Amaravati 170162","Driver","No physical injury","In doloremque nesciunt id voluptatem dolorum omnis numquam ab eligendi.","true"
"49093000000155102","49093000000013007","2026-06-28 13:27:29:690","2026-06-28 13:27:29:690","49093000000157260","Indira Kalla","Female","51","6690579576","mittalyoshita@example.org","762051662152","H.No. 63, Rajan Marg, Bhiwandi 754638","Business","Psychological trauma","Fugit soluta mollitia suscipit impedit aliquid nemo odio nam sit quibusdam quas.","false"
"49093000000155103","49093000000013007","2026-06-28 13:27:29:690","2026-06-28 13:27:29:690","49093000000157261","Mitesh Borde","Male","51","4423151371","svyas@example.com","947125379543","52, Sani Path, Bahraich 532311","Doctor","No physical injury","Consequuntur itaque corrupti accusamus pariatur fugiat dolores officia mollitia vel optio asperiores quibusdam praesentium iste harum occaecati.","true"
"49093000000155104","49093000000013007","2026-06-28 13:27:29:690","2026-06-28 13:27:29:690","49093000000157262","Maanas Sharma","Male","33","4054126742","sachdevqushi@example.net","294850274961","268, Khatri Road, Kozhikode-594595","Private Employee","Psychological trauma","Voluptatibus nesciunt sit quos nostrum neque ducimus labore magnam.","true"
"49093000000155105","49093000000013007","2026-06-28 13:27:29:690","2026-06-28 13:27:29:690","49093000000157263","Parth Ghose","Male","30","2897465735","mallaishani@example.org","366189252732","82/81, Mitra Street, Tadepalligudem 868579","Private Employee","Serious injuries","Dignissimos eum vel veniam aspernatur iste enim magni quasi alias tempore quo.","true"
"49093000000155106","49093000000013007","2026-06-28 13:27:29:690","2026-06-28 13:27:29:690","49093000000157264","Anika Misra","Female","24","4941006994","jhalak13@example.com","025496856388","H.No. 892, Thaker Street, Sangli-Miraj & Kupwad 597929","Farmer","Hospitalized","Ipsa laborum assumenda maiores quaerat corrupti totam provident sed eaque nisi voluptas dolores inventore nemo.","true"
"49093000000155107","49093000000013007","2026-06-28 13:27:29:691","2026-06-28 13:27:29:691","49093000000157265","Yashoda Khatri","Female","71","8419037339","chaudhurisai@example.com","446892404905","27/64, Desai Road, Anand-159800","Farmer","Minor injuries","Consectetur natus numquam doloribus itaque commodi quisquam veniam debitis iure.","true"
"49093000000155108","49093000000013007","2026-06-28 13:27:29:691","2026-06-28 13:27:29:691","49093000000157266","Anmol Rege","Male","69","8781151426","nmangal@example.net","800444809857","393, Solanki Circle, Varanasi 425077","Business","No physical injury","Accusamus assumenda fugiat recusandae sed deleniti totam et ducimus eligendi debitis debitis laudantium.","true"
"49093000000155109","49093000000013007","2026-06-28 13:27:29:691","2026-06-28 13:27:29:691","49093000000157267","Ishaan Gera","Male","58","5143014282","dalbir57@example.net","808624080166","40, Bassi Chowk, Hosur 631768","Engineer","Minor injuries","Facilis nostrum ad incidunt est repellendus perspiciatis vero itaque similique natus est optio fugit velit labore reprehenderit atque voluptate praesentium.","true"
"49093000000155110","49093000000013007","2026-06-28 13:27:29:691","2026-06-28 13:27:29:691","49093000000157267","Vihaan Manda","Male","37","7838293120","edhitha57@example.org","920389692279","619, Soman, Bulandshahr 927836","Doctor","Minor injuries","Autem iure fugit velit dolorum assumenda consectetur culpa omnis accusantium nemo debitis facere facere ad at odit maiores.","false"
"49093000000155111","49093000000013007","2026-06-28 13:27:29:691","2026-06-28 13:27:29:691","49093000000157268","Radha Ravel","Female","43","6188039489","wriddhishmurthy@example.org","170794457094","858, Barad Ganj, Raebareli-339645","Driver","Minor injuries","Sapiente enim pariatur ea minima libero aperiam eligendi voluptas.","true"
"49093000000155112","49093000000013007","2026-06-28 13:27:29:691","2026-06-28 13:27:29:691","49093000000157268","Ryan Srinivas","Male","69","7940031183","victor84@example.com","602644442825","559, Walia Zila, Belgaum 908533","Doctor","No physical injury","Tempore fugit fugiat itaque enim repellat voluptates aut quisquam dolore neque voluptatum numquam ducimus explicabo.","false"
"49093000000155113","49093000000013007","2026-06-28 13:27:29:691","2026-06-28 13:27:29:691","49093000000157269","Darika Panchal","Female","46","5570909811","wram@example.org","850298537846","02, Munshi Zila, Guntakal 352739","Farmer","Hospitalized","Eum quibusdam sequi veritatis non doloribus accusantium illo officiis dolores impedit quis error culpa ab accusantium tempore doloribus.","true"
"49093000000155114","49093000000013007","2026-06-28 13:27:29:691","2026-06-28 13:27:29:691","49093000000157270","Radha Bhattacharyya","Female","56","0189196864","manderanjali@example.org","874692065167","H.No. 52, Gole Circle, Aizawl 025929","Private Employee","Serious injuries","Velit repellendus neque voluptates nihil eum neque vero ducimus possimus rerum.","true"
"49093000000155115","49093000000013007","2026-06-28 13:27:29:691","2026-06-28 13:27:29:691","49093000000157270","Hiral Bhardwaj","Female","23","3929397479","ivenkatesh@example.com","368508704950","H.No. 30, Dube Circle, Dehradun 741708","Self Employed","Minor injuries","Eveniet possimus laudantium illo laborum sit ducimus facilis odit aliquam esse earum iste qui officia harum.","false"
"49093000000155116","49093000000013007","2026-06-28 13:27:29:691","2026-06-28 13:27:29:691","49093000000157271","Neelima Hari","Female","25","0022968164","wriddhishchana@example.net","273169368831","69/80, Rattan Circle, Dhanbad-222258","Teacher","Psychological trauma","Repellat incidunt amet qui nemo quam delectus corporis atque possimus dolorem molestiae porro odit architecto corporis commodi error.","true"
